0.55403,0.48741,0.49164,0.49909,0.55535,0.49065,0.49700,0.52206,0.50437,0.47937,0.43693,0.48615,0.49422,0.44851,0.46553,0.50184,0.48030,0.49019,0.34220,0.29814,0.45635,0.86569,0.43274,0.87587,0.82206,0.86486,0.93040,0.30014,hai
0.55270,0.48409,0.49319,0.49719,0.56572,0.49122,0.49812,0.51865,0.50433,0.48122,0.43630,0.48752,0.49389,0.44781,0.46909,0.50074,0.48023,0.49013,0.34345,0.29288,0.46175,0.88068,0.40055,0.88239,0.81017,0.87896,0.95137,0.30306,hai
0.55530,0.48488,0.49372,0.50307,0.55559,0.48998,0.49843,0.52527,0.50483,0.47989,0.43674,0.49111,0.49186,0.45166,0.47248,0.50214,0.48108,0.49008,0.33575,0.30163,0.46974,0.87504,0.42896,0.87628,0.82567,0.87569,0.93572,0.30179,hai
0.55679,0.48701,0.49468,0.49715,0.56763,0.49632,0.49916,0.52142,0.50734,0.47849,0.43759,0.48854,0.49055,0.45091,0.46954,0.50186,0.48270,0.49032,0.33884,0.29277,0.45496,0.85174,0.40428,0.88198,0.84177,0.87706,0.93366,0.31022,hai
0.56112,0.49352,0.49601,0.49578,0.56107,0.49800,0.49934,0.52717,0.50986,0.48267,0.43748,0.48659,0.49375,0.45264,0.46801,0.50262,0.47960,0.49028,0.34410,0.28274,0.44852,0.80908,0.43177,0.87793,0.82781,0.87417,0.92838,0.31689,hai
0.55636,0.48723,0.49300,0.49948,0.56574,0.48887,0.50024,0.51839,0.50553,0.48294,0.43817,0.48700,0.49403,0.44977,0.46989,0.50243,0.48091,0.49026,0.34067,0.29226,0.46409,0.88275,0.42423,0.81947,0.82678,0.88716,0.94342,0.30759,hai
0.54959,0.48320,0.48488,0.49747,0.56812,0.49158,0.50009,0.51363,0.50200,0.48014,0.43820,0.48618,0.49423,0.44897,0.46856,0.50314,0.48228,0.49233,0.34761,0.30469,0.47235,0.90095,0.39211,0.85595,0.82519,0.88078,0.92497,0.29047,hai
0.56357,0.49632,0.50353,0.49732,0.56028,0.49104,0.49726,0.52365,0.50564,0.47921,0.43902,0.49112,0.48870,0.45162,0.46960,0.50098,0.48159,0.48994,0.33258,0.28609,0.45647,0.78190,0.45214,0.88077,0.84935,0.86925,0.93503,0.32010,hai
0.56085,0.49569,0.50404,0.49633,0.56807,0.49855,0.49805,0.52368,0.50710,0.48378,0.43848,0.48497,0.49545,0.44980,0.46684,0.50233,0.48084,0.49089,0.34596,0.27622,0.43462,0.80826,0.44735,0.90417,0.82192,0.88276,0.94106,0.32508,hai
0.55503,0.48294,0.49212,0.50299,0.55830,0.48143,0.49867,0.52272,0.50137,0.48310,0.43800,0.48808,0.49588,0.45075,0.46884,0.50310,0.48194,0.49279,0.34488,0.30447,0.47981,0.89354,0.42789,0.88112,0.81441,0.87146,0.92467,0.29156,hai
0.55384,0.48818,0.49956,0.49228,0.56493,0.49192,0.49668,0.52038,0.50515,0.47748,0.43896,0.48483,0.49193,0.44883,0.46690,0.50081,0.48227,0.49024,0.34379,0.29450,0.44172,0.86021,0.39470,0.87992,0.83763,0.87770,0.94065,0.30567,hai
0.55704,0.48404,0.49954,0.50633,0.55425,0.49157,0.50148,0.52493,0.50600,0.48106,0.44028,0.48167,0.49490,0.44970,0.46597,0.50265,0.48441,0.49207,0.33379,0.30841,0.44485,0.87142,0.43821,0.87608,0.83142,0.88902,0.93561,0.30219,hai
0.55865,0.48300,0.50619,0.50328,0.55691,0.49109,0.50088,0.52501,0.50487,0.47672,0.43934,0.48628,0.49362,0.45149,0.46672,0.50246,0.48285,0.49064,0.33810,0.30716,0.44056,0.82706,0.41046,0.88930,0.86773,0.86264,0.93554,0.30122,hai
0.56210,0.48969,0.50357,0.50478,0.56028,0.48906,0.50228,0.52543,0.50653,0.48133,0.44163,0.48295,0.49030,0.45236,0.46703,0.50120,0.48176,0.48918,0.32467,0.29369,0.44369,0.83323,0.45965,0.85265,0.84107,0.89537,0.93998,0.32182,hai
0.56255,0.47864,0.50876,0.50419,0.56621,0.48958,0.50251,0.52150,0.50457,0.48027,0.43999,0.48194,0.49041,0.45132,0.46638,0.50191,0.48390,0.49067,0.33521,0.30642,0.44342,0.77893,0.39918,0.84204,0.85912,0.89609,0.93036,0.30332,hai
0.55680,0.48656,0.49921,0.50043,0.56805,0.49600,0.49994,0.51916,0.50667,0.47540,0.43838,0.48619,0.49095,0.45140,0.46591,0.50174,0.48224,0.49082,0.33520,0.29658,0.44548,0.83829,0.41523,0.87857,0.85901,0.86509,0.92961,0.31121,hai
0.55270,0.48575,0.49940,0.49873,0.55479,0.48988,0.49707,0.52542,0.50466,0.47878,0.43692,0.48747,0.49192,0.44967,0.46883,0.50216,0.48203,0.49146,0.34232,0.30198,0.45439,0.87622,0.39691,0.88193,0.82252,0.87803,0.93181,0.29941,hai
0.55373,0.47984,0.49467,0.50874,0.55667,0.49062,0.50041,0.52327,0.50402,0.47589,0.43886,0.48932,0.49392,0.44901,0.46547,0.50280,0.48359,0.49237,0.33487,0.31066,0.46209,0.88087,0.42912,0.85163,0.85896,0.84804,0.92506,0.29581,hai
0.55563,0.48029,0.49595,0.50384,0.55678,0.49456,0.49967,0.52459,0.50531,0.47572,0.43919,0.48733,0.49319,0.44947,0.46621,0.50237,0.48422,0.49262,0.33917,0.31124,0.45695,0.85130,0.40304,0.89703,0.86425,0.85972,0.92826,0.29305,hai
0.55363,0.48141,0.49581,0.50031,0.56905,0.49235,0.50150,0.51956,0.50272,0.48079,0.43967,0.48415,0.49441,0.44889,0.46557,0.50266,0.48414,0.49221,0.34355,0.30157,0.45390,0.88598,0.38732,0.89483,0.83371,0.87974,0.93241,0.29930,hai
